VirtualPortGroup,PhysicalGroup,SPA Port,SPB Port,SPA Port,SPB Port,
VG114,PG6,spa_iom_1_eth1,spb_iom_1_eth1,spa_ocp_0_eth3,spb_ocp_0_eth3,
VG115,PG1,spa_ocp_0_eth0,spb_ocp_0_eth0,spa_iom_0_eth2,spb_iom_0_eth2,
VG116,PG2,spa_ocp_0_eth1,spb_ocp_0_eth1,spa_iom_0_eth3,spb_iom_0_eth3,
VG117,PG3,spa_iom_0_eth0,spb_iom_0_eth0,spa_iom_1_eth2,spb_iom_1_eth2,
VG118,PG4,spa_iom_0_eth1,spb_iom_0_eth1,spa_iom_1_eth3,spb_iom_1_eth3,
VG119,PG5,spa_iom_1_eth0,spb_iom_1_eth0,spa_ocp_0_eth2,spb_ocp_0_eth2,
VG120,PG6,spa_iom_1_eth1,spb_iom_1_eth1,spa_ocp_0_eth3,spb_ocp_0_eth3,
VG121,PG1,spa_ocp_0_eth0,spb_ocp_0_eth0,spa_iom_0_eth2,spb_iom_0_eth2,
VG122,PG2,spa_ocp_0_eth1,spb_ocp_0_eth1,spa_iom_0_eth3,spb_iom_0_eth3,
VG123,PG3,spa_iom_0_eth0,spb_iom_0_eth0,spa_iom_1_eth2,spb_iom_1_eth2,
VG124,PG4,spa_iom_0_eth1,spb_iom_0_eth1,spa_iom_1_eth3,spb_iom_1_eth3,
VG125,PG5,spa_iom_1_eth0,spb_iom_1_eth0,spa_ocp_0_eth2,spb_ocp_0_eth2,
VG126,PG6,spa_iom_1_eth1,spb_iom_1_eth1,spa_ocp_0_eth3,spb_ocp_0_eth3,
VG127,PG1,spa_ocp_0_eth0,spb_ocp_0_eth0,spa_iom_0_eth2,spb_iom_0_eth2,
VG128,PG2,spa_ocp_0_eth1,spb_ocp_0_eth1,spa_iom_0_eth3,spb_iom_0_eth3,
VG129,PG3,spa_iom_0_eth0,spb_iom_0_eth0,spa_iom_1_eth2,spb_iom_1_eth2,
VG130,PG4,spa_iom_0_eth1,spb_iom_0_eth1,spa_iom_1_eth3,spb_iom_1_eth3,
VG131,PG5,spa_iom_1_eth0,spb_iom_1_eth0,spa_ocp_0_eth2,spb_ocp_0_eth2,
VG132,PG6,spa_iom_1_eth1,spb_iom_1_eth1,spa_ocp_0_eth3,spb_ocp_0_eth3,
VG133,PG1,spa_ocp_0_eth0,spb_ocp_0_eth0,spa_iom_0_eth2,spb_iom_0_eth2,
VG134,PG2,spa_ocp_0_eth1,spb_ocp_0_eth1,spa_iom_0_eth3,spb_iom_0_eth3,
VG135,PG3,spa_iom_0_eth0,spb_iom_0_eth0,spa_iom_1_eth2,spb_iom_1_eth2,
VG136,PG4,spa_iom_0_eth1,spb_iom_0_eth1,spa_iom_1_eth3,spb_iom_1_eth3,
VG137,PG5,spa_iom_1_eth0,spb_iom_1_eth0,spa_ocp_0_eth2,spb_ocp_0_eth2,
VG138,PG6,spa_iom_1_eth1,spb_iom_1_eth1,spa_ocp_0_eth3,spb_ocp_0_eth3,
VG139,PG1,spa_ocp_0_eth0,spb_ocp_0_eth0,spa_iom_0_eth2,spb_iom_0_eth2,
VG140,PG2,spa_ocp_0_eth1,spb_ocp_0_eth1,spa_iom_0_eth3,spb_iom_0_eth3,
VG141,PG3,spa_iom_0_eth0,spb_iom_0_eth0,spa_iom_1_eth2,spb_iom_1_eth2,
VG142,PG4,spa_iom_0_eth1,spb_iom_0_eth1,spa_iom_1_eth3,spb_iom_1_eth3,
VG143,PG5,spa_iom_1_eth0,spb_iom_1_eth0,spa_ocp_0_eth2,spb_ocp_0_eth2,
VG144,PG6,spa_iom_1_eth1,spb_iom_1_eth1,spa_ocp_0_eth3,spb_ocp_0_eth3,
VG145,PG1,spa_ocp_0_eth0,spb_ocp_0_eth0,spa_iom_0_eth2,spb_iom_0_eth2,
VG146,PG2,spa_ocp_0_eth1,spb_ocp_0_eth1,spa_iom_0_eth3,spb_iom_0_eth3,
VG147,PG3,spa_iom_0_eth0,spb_iom_0_eth0,spa_iom_1_eth2,spb_iom_1_eth2,
VG148,PG4,spa_iom_0_eth1,spb_iom_0_eth1,spa_iom_1_eth3,spb_iom_1_eth3,
VG149,PG5,spa_iom_1_eth0,spb_iom_1_eth0,spa_ocp_0_eth2,spb_ocp_0_eth2,
VG150,PG6,spa_iom_1_eth1,spb_iom_1_eth1,spa_ocp_0_eth3,spb_ocp_0_eth3,
